RespID,ppl_like_you,President,Congress,Supreme_Court,CDC,Election_officials,Intelligence,Media,Police,USPS,age,education,race,gender,income_cat,voter_cat
470184,3.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,55,Some college,White,Male,$75-125k,sporadic
470186,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,71,College,White,Male,$125k or more,always
470187,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,47,Some college,White,Female,$125k or more,always
470188,3.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,72,College,Black,Male,$125k or more,always
470189,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,22,High school or less,White,Female,$75-125k,rarely/never
470190,3.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,64,Some college,White,Male,$75-125k,always
470191,3.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,88,Some college,White,Male,$40-75k,always
470193,4.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,66,High school or less,White,Female,$40-75k,always
470196,3.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,81,Some college,Black,Female,$40-75k,sporadic
470198,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,56,High school or less,White,Female,$75-125k,sporadic
470200,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,70,College,White,Male,$75-125k,sporadic
470201,3.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,52,High school or less,White,Male,Less than $40k,rarely/never
470205,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,57,Some college,Black,Male,$75-125k,sporadic
470206,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,50,College,White,Male,$40-75k,always
470207,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,30,Some college,White,Female,$75-125k,always
470208,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60,Some college,White,Female,$75-125k,always
480222,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,62,High school or less,White,Female,Less than $40k,rarely/never
470212,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,62,Some college,White,Female,Less than $40k,always
470213,2.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,67,High school or less,White,Male,$75-125k,sporadic
470214,4.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,54,High school or less,White,Male,$75-125k,sporadic
470215,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,68,High school or less,White,Male,$125k or more,sporadic
480230,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,62,Some college,Black,Male,$75-125k,sporadic
470216,3.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,78,Some college,White,Female,$40-75k,always
470217,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,65,Some college,White,Male,$75-125k,always
470218,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,36,High school or less,White,Female,Less than $40k,rarely/never
470219,4.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,79,Some college,White,Female,$125k or more,sporadic
470220,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,66,College,White,Male,$125k or more,sporadic
470222,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,58,College,White,Female,Less than $40k,sporadic
